"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VVFRK7ZF","journalArticle","2024","Zhang, Minglin; Ma, Zhiyuan; Yi, Zhiqiang; Wang, Hu; Zhu, Jiaxing; Wen, Guorong; Jin, Hai; An, Jiaxing; Deng, Zilin; Tuo, Biguang; Li, Taolang; Liu, Xuemei","SLC26A9 promotes colorectal tumorigenesis by modulating Wnt/β-catenin signaling","Cell Death Discovery","","2058-7716","10.1038/s41420-024-01888-6","","Solute carrier family 26 member 9 (SLC26A9) is a member of the Slc26a family of multifunctional anion transporters that functions as a Cl- channel in parietal cells during acid secretion. We explored the role of SLC26A9 in colorectal cancer (CRC) and its related mechanisms through clinical samples from CRC patients, CRC cell lines and mouse models. We observed that SLC26A9 was expressed at low levels in the cytoplasm of adjacent tissues, polyps and adenomas but was significantly increased in colorectal adenocarcinoma. Moreover, increased levels of SLC26A9 were associated with a high risk of disease and poor prognosis. In addition, downregulation of SLC26A9 in CRC cells induced cell cycle arrest and apoptosis but inhibited cell proliferation and xenograft tumor growth both in vitro and in vivo. Mechanistic analysis revealed that SLC26A9 was colocalized with β-catenin in the nucleus of CRC cells. The translocation of these two proteins from the cytoplasm to the nucleus reflected the activation of Wnt/β-catenin signaling, and promoted the transcription of downstream target proteins, including CyclinD1, c-Myc and Snail, but inhibited the expression of cytochrome C (Cyt-c), cleaved Caspase9, cleaved Caspase3 and apoptosis-inducing factor (AIF). CRC is accompanied by alteration of epithelial mesenchymal transition (EMT) markers. Meanwhile, further studies showed that in SW48 cells, overexpressing SLC26A9 was cocultured with the β-catenin inhibitor XAV-939, β-catenin was downregulated, and EMT was reversed. Our study demonstrated SLC26A9 may be responsible for alterations in the proliferative ability and aggressive potential of CRC by regulating the Wnt/β-catenin signaling pathway.","2024-03-09","2026-06-10 09:58:29","2026-06-10 09:58:29","","123","","1","10","","Cell Death Discov","","","","","","","","eng","","","","","PubMed","","","","C:\\Users\\luoch\\Zotero\\storage\\3MUZ8QXQ\\Zhang等-2024-SLC26A9promotescolorectaltumorigenesisbymodulatingWntβ-cateninsignaling.pdf;","http://www.ncbi.nlm.nih.gov/pubmed/38461207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MILV32PY","journalArticle","2025","Ma, Zhiyuan; Wang, Hu; Zhou, Zhengxing; Lu, Chengli; Zhang, Minglin; Mu, Renmin; Zhang, Chengmin; Yi, Zhiqiang; Deng, Zilin; Zhao, Yingying; Zhu, Jiaxing; Wen, Guorong; Jin, Hai; An, Jiaxing; Tuo, Biguang; Yuan, Peng; Liu, Xuemei; Li, Taolang","SLC26A9 promotes the initiation and progression of breast cancer by activating the PI3K/AKT signaling pathway","Biochimica Et Biophysica Acta. Molecular Cell Research","","1879-2596","10.1016/j.bbamcr.2025.119912","","SLC26A9 is a member of the Slc26a family of multifunctional anion transporters that function as Cl- channels in the stomach. We reported for the first time that SLC26A9 is involved in gastric tumorigenesis. However, the role of SLC26A9 in breast cancer has not yet been investigated. We first demonstrated that the upregulation of SLC26A9 is associated with the clinicopathological progression and poor prognosis of patients with breast cancer and is positively correlated with HER2 amplification. SLC26A9 alters the proliferation, migration, and invasion potential of breast cancer cells by regulating the PI3K/AKT signaling pathway. SLC26A9 acts as an oncogene in the development of breast cancer. These findings provide valuable insights for the development of future diagnostic and therapeutic strategies for BC.","2025-03","2026-06-14 01:41:25","2026-06-14 01:41:25","","119912","","3","1872","","BiochimBiophysActaMolCellRes","","","","","","","eng","","","","","PubMed","","","","","http://www.ncbi.nlm.nih.gov/pubmed/39880129","","DiseaseProgression;Humans;Prognosis;Animals;BreastNeoplasms;CellProliferation;Female;MiddleAged;SignalTransduction;Breastcancer;CellLine,Tumor;CellMovement;GeneExpressionRegulation,Neoplastic;Invasion;Migration;Phosphatidylinositol3-Kinases;PI3K/AKT;Proliferation;Proto-OncogeneProteinsC-akt;SLC26A9;SulfateTransporters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S673LQVI","journalArticle","2025","Shen, Mimi; Ma, Zhiyuan; Cao, Yanghui; Wang, Lan; Feng, Guoli; Zhou, Zhengxing; Li, Leilei; Ji, Bei; Liu, Shuhui; Qin, Jiaqi; Wang, Qin; Liu, Xuemei; Li, Taolang","SLC26A9 in triple-negative breast cancer stem cells: a network pharmacology and molecular modeling study","Frontiers in Bioengineering and Biotechnology","","2296-4185","10.3389/fbioe.2025.1703343","","Triple-negative breast cancer (TNBC) presents significant clinical challenges due to its high heterogeneity and lack of effective targeted therapies. Cancer stem cells (CSCs) play a crucial role in TNBC recurrence, metastasis, and drug resistance. However, the interplay between ion transport, microenvironmental regulation, and classical stemness pathways remains underexplored in existing reviews. In this work, we systematically integrated multi-omics databases, network pharmacology, protein-protein interaction (PPI) analysis, functional pathway enrichment, and molecular modeling to highlight the bridging role of SLC26A9 and its interacting proteins in TNBC stem cell self-renewal, drug resistance, and microenvironmental regulation. Comprehensive molecular docking and 100-ns molecular dynamics (MD) simulations demonstrated that the small molecule S9-A13 exhibited high affinity and stable binding to both SLC26A9 and tumor protein p53 (TP53), with docking affinities of -7.737 and -8.447 kcal/mol and molecular mechanics/generalized Born surface area (MM/GBSA) binding free energies of -34.47 and -25.65 kcal/mol, respectively. These results suggest that S9-A13 may act on the SLC26A9-TP53 axis to enable multi-target regulation of TNBC cancer stem cells. We further discuss the translational implications of such interventions, including safety profile considerations, potential off-target effects, and delivery strategies. In summary, this review provides a structured framework and testable hypotheses for developing SLC26A9-based multi-target precision therapies for TNBC CSCs, while emphasizing that these computational findings are hypothesis-generating and require rigorous experimental and clinical validation prior to translation.","2025","2026-06-14 01:41:51","2026-06-14 01:41:51","","1703343","","","13","","FrontBioengBiotechnol","SLC26A9inTriple-NegativeBreastCancerStemCells","","","","","","eng","","","","","PubMed","","","","","http://www.ncbi.nlm.nih.gov/pubmed/41323464","","SLC26A9;cancerstemcells;molecularmodeling;networkpharmacology;precisiononcology;systemspharmacology;TP53;triple-negativebreastcancer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Z8SULNA","journalArticle","2022","Liu, Xuemei; Li, Taolang; Ma, Zhiyuan; Riederer, Brigitte; Yuan, Dumin; Zhu, Jiaxing; Li, Yunhua; An, Jiaxing; Wen, Guorong; Jin, Hai; Yang, Xiao; Seidler, Ursula; Tuo, Biguang","SLC26A9 deficiency causes gastric intraepithelial neoplasia in mice and aggressive gastric cancer in humans","Cellular Oncology","","2211-3436","10.1007/s13402-022-00672-x","","BACKGROUND: Solute carrier family 26 member (SLC26A9) is a Cl- uniporter with very high expression levels in the gastric mucosa. Here, we describe morphological and molecular alterations in gastric mucosa of slc26a9-/- mice and in selective parietal cell-deleted slc26a9fl/fl/Atp4b-Cre mice and correlate SLC26A9 expression levels with morphological and clinical parameters in a cohort of gastric cancer (GC) patients. METHODS: The expression patterns of genes related to transport and enzymatic function, proliferation, apoptosis, inflammation, barrier integrity, metaplasia and neoplasia development were studied by immunohistochemistry (IHC), quantitative RT-PCR, in situ hybridization and RNA microarray analysis. SLC26A9 expression and cellular/clinical phenotypes were studied in primary human GC tissues and GC cell lines. RESULTS: We found that both complete and parietal cell-selective Slc26a9 deletion in mice caused spontaneous development of gastric premalignant and malignant lesions. Dysregulated differentiation of gastric stem cells in an inflammatory environment, activated Wnt signaling, cellular hyperproliferation, apoptosis inhibition and metaplasia were observed. Analysis of human gastric precancerous and cancerous tissues revealed that SLC26A9 expression progressively decreased from atrophic gastritis to GC, and that downregulation of SLC26A9 was correlated with patient survival. Exogenous expression of SLC26A9 in GC cells induced upregulation of the Cl-/HCO3- exchanger AE2, G2/M cell cycle arrest and apoptosis and suppressed their proliferation, migration and invasion. CONCLUSIONS: Our data indicate that SLC26A9 deletion in parietal cells is sufficient to trigger gastric metaplasia and the development of neoplastic lesions. In addition, we found that SLC26A9 expression decreases during human gastric carcinogenesis, and that exogenous SLC26A9 expression in GC cells reduces their malignant behavior.","2022-06","2026-06-14 01:42:02","2026-06-14 01:42:02","","381-398","","3","45","","CellOncol(Dordr)","","","","","","","Dordrecht,Netherlands","eng","","","","","PubMed","","","","C:\\Users\\luoch\\Zotero\\storage\\4CWSUMB5\\Liu等-2022-SLC26A9deficiencycausesgastricintrapithelialneoplasiaink\\u6308\\u8ecdandinabusivehostedeagregardsincesoubleapproachattacks.pdf;","http://www.ncbi.nlm.nih.gov/pubmed/35426084","","GastricMucosa;Humans;StomachNeoplasms;Animals;Mice;SulfateTransporters;Metaplasia;Antiporters;Gastriccarcinogenesis;Gastricparietalcells;Immunohistochemistry;PrecancerousConditions;Slc26a9;Wntsignaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
